date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:22:57	120/120	---M-Z	200	added ('OK')	text/plain	date:Mon,%2001%20Nov%202021%2007:52:57%20GMT	https://template-kit.rootlayers.com/robots.txt		(from )
13:22:58	44626/44626	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Nov%202021%2007:52:58%20GMT	https://template-kit.rootlayers.com/campusa/template-kit/	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/template-kit/index.html	(from )
13:22:58	80574/80574	---M-Z	200	added ('OK')	text/css	date:Fri,%2006%20Aug%202021%2009:21:18%20GMT	https://template-kit.rootlayers.com/campusa/wp-includes/css/dist/block-library/style.min.css?ver=5.8.1	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-includes/css/dist/block-library/style.minf658.css	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:22:58	1111/1111	---M-Z	200	added ('OK')	text/css	date:Fri,%2015%20Oct%202021%2008:10:06%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/plugins/template-kit-export/public/assets/css/template-kit-export-public.min.css?ver=1.0.21	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/plugins/template-kit-export/public/assets/css/template-kit-export-public.min365c.css	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:22:59	6687/6687	---M-Z	200	added ('OK')	text/css	date:Fri,%2006%20Aug%202021%2003:36:43%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/themes/hello-elementor/style.min.css?ver=2.4.1	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/themes/hello-elementor/style.min8066.css	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:00	15164/15164	---M-Z	200	added ('OK')	text/css	date:Fri,%2006%20Aug%202021%2003:36:43%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/themes/hello-elementor/theme.min.css?ver=2.4.1	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/themes/hello-elementor/theme.min8066.css	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:00	122691/122691	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Jul%202021%2005:21:28%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.3.1	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/css/frontend.min3d36.css	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:00	5578/5578	---M-Z	200	added ('OK')	text/css	date:Sat,%2004%20Sep%202021%2006:57:49%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/uploads/sites/31/elementor/css/post-3.css?ver=1630738669	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/uploads/sites/31/elementor/css/post-38f22.css	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:01	17679/17679	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Jul%202021%2005:21:28%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.12.0	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.minb683.css	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:03	59344/59344	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Jul%202021%2005:21:28%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.3.1	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min3d36.css	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:03	234526/234526	---M-Z	200	added ('OK')	text/css	date:Tue,%2020%20Jul%202021%2023:21:30%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/plugins/elementor-pro/assets/css/frontend.min.css?ver=3.3.3	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/plugins/elementor-pro/assets/css/frontend.min6765.css	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:03	26702/26702	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Jul%202021%2005:21:28%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.3.1	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min3d36.css	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:03	12858/12858	---M-Z	200	added ('OK')	text/css	date:Fri,%2003%20Sep%202021%2013:47:37%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/uploads/sites/31/elementor/css/post-60.css?ver=1630676857	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/uploads/sites/31/elementor/css/post-60e3fe.css	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:04	14719/14719	---M-Z	200	added ('OK')	text/css	date:Sat,%2004%20Sep%202021%2006:40:16%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/uploads/sites/31/elementor/css/post-199.css?ver=1630737616	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/uploads/sites/31/elementor/css/post-1993ffa.css	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:04	669/669	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Jul%202021%2005:21:28%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:04	57912/57912	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Jul%202021%2005:21:28%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:05	677/677	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Jul%202021%2005:21:28%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css?ver=5.15.3	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min52d5.css	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:05	675/675	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Jul%202021%2005:21:28%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.15.3	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min52d5.css	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:05	11224/11224	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2011%20Dec%202020%2007:27:18%20GMT	https://template-kit.rootlayers.com/campusa/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://template-kit.rootlayers.com/campusa/template-kit/)
